Student ID,Program/Major,Minor,Degree Type,Academic Level,Enrollment Status,GPA (Cumulative),GPA (Term),Academic Standing,Course Enrollments,Course Completion Status,Credit Hours Earned,Credit Hours Attempted,Transfer Credits,Start Date,Expected Graduation Date,Actual Graduation Date,Graduation Status,Advisor Name,Department,School/College,Degree Progress (%),Academic Term/Session,Term Start Date,Term End Date,Class Schedule,Attendance Record,Exam Scores,Assignment Grades,Final Grades,Course Evaluations,Course Mode,Course Section,Curriculum Version,Registration Status,Holds on Account,Thesis/Capstone Title,Internship/Co-op Participation,Remedial Courses,Honor Roll/Dean’s List,Academic Advisor Meetings,Class Rank,Prerequisite Courses Completed,Academic Goals,Study Abroad Participation,Certification(s) Earned,Learning Outcomes Achieved,Competency Badges,Class Participation Score,Online Learning Engagement (LMS Activity Score)
S001,Computer Science,Mathematics,BA,undergrad,full-time,2.53,2.48,Probation,"Course1, Course2, Course3",Completed,31,34,1,8/15/20,5/15/24,5/15/24,Graduated,Dr. Smith,Computer Science,College of Engineering,100,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,86,71,76,A,Excellent,Online,Section 1,v2021,Registered,Financial,Capstone Project for Computer Science S001,FALSE,None,FALSE,2,50,FALSE,Achieve academic excellence 1,FALSE,None,Outcomes achieved for student S001,"Badge2, Badge2",81,71
S002,Business Administration,Economics,BS,undergrad,full-time,2.56,2.51,Probation,"Course2, Course3, Course4",Completed,32,35,2,8/16/20,5/15/24,5/16/24,Graduated,Dr. Johnson,Business Administration,School of Business,100,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,87,72,77,B,Good,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Business Administration S002,TRUE,None,FALSE,3,49,FALSE,Achieve academic excellence 2,FALSE,None,Outcomes achieved for student S002,"Badge3, Badge3",82,72
S003,Psychology,Statistics,MBA,undergrad,full-time,2.59,2.54,Probation,"Course3, Course4, Course5",Dropped,33,36,3,8/17/20,5/15/24,5/17/24,Graduated,Dr. Williams,Psychology,College of Arts and Sciences,100,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,88,73,78,C,Average,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Psychology S003,FALSE,None,FALSE,4,48,TRUE,Achieve academic excellence 3,FALSE,None,Outcomes achieved for student S003,"Badge1, Badge4",83,73
S004,Biology,None,BA,undergrad,part-time,2.62,2.57,Probation,"Course4, Course5, Course6",Completed,34,37,0,8/18/20,5/15/24,5/18/24,Graduated,Dr. Brown,Biology,College of Arts and Sciences,100,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,89,74,79,B,Poor,Online,Section 4,v2021,Registered,Financial,Capstone Project for Biology S004,TRUE,None,TRUE,5,47,FALSE,Achieve academic excellence 4,FALSE,None,Outcomes achieved for student S004,"Badge2, Badge1",84,74
S005,Engineering,Philosophy,BS,undergrad,full-time,2.65,2.6,Probation,"Course5, Course6, Course7",Completed,35,38,1,8/19/20,5/15/24,5/19/24,Graduated,Dr. Jones,Engineering,College of Engineering,100,Spring 2021,1/15/21,5/1/21,MWF 9:00-10:00,90,75,80,A,Excellent,In-person,Section 5,v2022,Waitlisted,Financial,Capstone Project for Engineering S005,FALSE,None,FALSE,1,46,FALSE,Achieve academic excellence 5,FALSE,Certification 1,Outcomes achieved for student S005,"Badge3, Badge2",85,75
S006,Art History,English,BA,undergrad,full-time,2.68,2.63,Probation,"Course6, Course7, Course8",Completed,36,39,2,8/20/20,5/15/24,5/20/24,Graduated,Dr. Smith,Art History,College of Arts and Sciences,100,Summer 2021,6/1/21,8/15/21,TTh 10:00-11:30,91,76,81,A,Good,Online,Section 1,v2021,Registered,Financial,Capstone Project for Art History S006,TRUE,None,FALSE,2,45,FALSE,Achieve academic excellence 6,FALSE,None,Outcomes achieved for student S006,"Badge1, Badge3",86,76
S007,Mathematics,History,BS,undergrad,part-time,2.71,2.66,Probation,"Course7, Course8, Course9",Completed,37,40,3,8/21/20,5/15/24,5/21/24,Graduated,Dr. Johnson,Mathematics,College of Engineering,100,Fall 2020,9/1/20,12/15/20,MWF 9:00-10:00,92,77,82,B,Average,In-person,Section 2,v2022,Waitlisted,None,Capstone Project for Mathematics S007,FALSE,None,FALSE,3,44,TRUE,Achieve academic excellence 7,FALSE,None,Outcomes achieved for student S007,"Badge2, Badge4",87,77
S008,Economics,None,MBA,undergrad,full-time,2.74,2.69,Probation,"Course8, Course9, Course10",Completed,38,41,0,8/22/20,5/15/24,5/22/24,Graduated,Dr. Williams,Economics,School of Business,100,Spring 2021,1/15/21,5/1/21,TTh 10:00-11:30,93,78,83,C,Poor,Hybrid,Section 3,v2020,Dropped,Financial,Capstone Project for Economics S008,TRUE,None,FALSE,4,43,FALSE,Achieve academic excellence 8,FALSE,None,Outcomes achieved for student S008,"Badge3, Badge1",88,78
S009,Sociology,Environmental Science,BA,undergrad,full-time,2.77,2.72,Probation,"Course9, Course10, Course11",Completed,39,42,1,8/23/20,5/15/24,5/23/24,Graduated,Dr. Brown,Sociology,College of Arts and Sciences,100,Summer 2021,6/1/21,8/15/21,MWF 9:00-10:00,94,79,84,B,Excellent,Online,Section 4,v2021,Registered,Financial,Capstone Project for Sociology S009,TRUE,None,TRUE,5,42,FALSE,Achieve academic excellence 9,FALSE,Certification 2,Outcomes achieved for student S009,"Badge1, Badge2",89,79
S010,Political Science,Communication,BS,undergrad,part-time,2.8,2.75,Probation,"Course10, Course11, Course12",Completed,40,43,2,8/24/20,5/15/24,5/24/24,Graduated,Dr. Jones,Political Science,College of Arts and Sciences,100,Fall 2020,9/1/20,12/15/20,TTh 10:00-11:30,95,80,85,A,Good,In-person,Section 5,v2022,Waitlisted,None,Capstone Project for Political Science S010,FALSE,None,FALSE,1,41,FALSE,Achieve academic excellence 10,FALSE,None,Outcomes achieved for student S010,"Badge2, Badge3",90,80
