Student ID Number,Username,Password Reset Status,Enrollment Date,Orientation Attendance,Preferred Learning Style,"Technology Access (e.g., laptop, Wi-Fi)",LMS Access Logs,Mobile App Usage,Chatbot Interactions,Login Frequency,"Student Type (e.g., domestic, international)",First-generation College Student,Participation in Student Organizations,Club Memberships,Leadership Roles,Campus Housing Status,Meal Plan,Commuter or Resident,Transportation Access,ID Card Status,Disciplinary Records,Code of Conduct Agreement,Learning Accommodations,Communication Preferences,Digital Literacy Score,Virtual Office Hours Attendance,Peer Mentoring Participation,Student Satisfaction Survey Results,Peer Tutoring Participation,Group Project Participation,Library Usage,Student Portal Usage,Participation in DEI Programs,Online Course Feedback,Campus Event Attendance,Social Media Engagement,Mobile Device Registered,AI Chat Assistant Usage,Study Group Involvement,Roommate Information,Campus Jobs Held,Textbook Purchases,Class Withdrawal History,Survey Participation,System Notifications Received,Device Login Location,Digital Footprint Score,Advisor Meeting Notes,Institutional Loyalty Score
S0001,jdoe,FALSE,8/15/22,TRUE,Visual,Laptop and Wi‑Fi,25,15,5,10,Domestic,FALSE,Active in Student Council,Chess Club,President,On‑Campus,Full,Resident,"Car, Bike, Public Transit",Active,None,TRUE,Standard,Email,75,3,TRUE,Very Satisfied,FALSE,TRUE,10,50,TRUE,Positive,2,100,TRUE,0,FALSE,Roommate: Jane Smith,1/0/00,3,None,TRUE,5,On‑Campus,80,Met with advisor on 2022-08-15,90
S0002,asmith,TRUE,8/16/22,FALSE,Auditory,Desktop and Wi‑Fi,30,20,7,12,International,TRUE,Member of Debate Club,Robotics Club,Vice President,Off‑Campus,Partial,Commuter,Public Transit,Inactive,None,TRUE,Extended Time,SMS,76,4,FALSE,Satisfied,TRUE,FALSE,11,51,FALSE,Neutral,3,105,FALSE,1,TRUE,Roommate: Bob Brown,1/1/00,2,None,FALSE,6,Off‑Campus,81,Met with advisor on 2022-08-16,91
S0003,bwhite,FALSE,8/17/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,35,25,9,14,Domestic,FALSE,Active in Volunteer Club,Drama Club,Member,On‑Campus,None,Resident,Car,Pending,None,TRUE,Not Applicable,Phone,77,3,TRUE,Neutral,FALSE,TRUE,12,52,TRUE,Negative,2,110,TRUE,2,FALSE,Roommate: Carol Davis,1/0/00,4,None,TRUE,7,Remote,82,Met with advisor on 2022-08-17,92
S0004,cdavis,TRUE,8/18/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,40,30,11,16,International,TRUE,Member of Science Club,Art Club,Secretary,Off‑Campus,Full,Commuter,Bike,Active,None,TRUE,Standard,In‑person,78,4,FALSE,Dissatisfied,TRUE,FALSE,13,53,FALSE,Positive,3,115,FALSE,3,TRUE,Roommate: David Miller,1/1/00,3,None,FALSE,8,On‑Campus,83,Met with advisor on 2022-08-18,93
S0005,dmiller,FALSE,8/19/22,TRUE,Visual,Laptop and Wi‑Fi,45,35,13,18,Domestic,FALSE,None,None,None,On‑Campus,Partial,Resident,"Car, Bike, Public Transit",Inactive,None,TRUE,Extended Time,Email,79,3,TRUE,Very Dissatisfied,FALSE,TRUE,14,54,TRUE,Neutral,2,120,TRUE,4,FALSE,Roommate: None,1/0/00,2,None,TRUE,9,Off‑Campus,84,Met with advisor on 2022-08-19,94
S0006,ewilson,TRUE,8/20/22,FALSE,Auditory,Desktop and Wi‑Fi,50,40,15,20,International,TRUE,Active in Student Council,Chess Club,President,Off‑Campus,None,Commuter,Public Transit,Pending,None,TRUE,Not Applicable,SMS,80,4,FALSE,Very Satisfied,TRUE,FALSE,15,55,FALSE,Negative,3,125,FALSE,5,TRUE,Roommate: Jane Smith,1/1/00,3,None,FALSE,10,Remote,85,Met with advisor on 2022-08-20,95
S0007,fgarcia,FALSE,8/21/22,TRUE,Kinesthetic,Laptop and Mobile Hotspot,55,45,17,22,Domestic,FALSE,Member of Debate Club,Robotics Club,Vice President,On‑Campus,Full,Resident,Car,Active,None,TRUE,Standard,Phone,81,3,TRUE,Satisfied,FALSE,TRUE,16,56,TRUE,Positive,2,130,TRUE,6,FALSE,Roommate: Bob Brown,1/0/00,4,None,TRUE,11,On‑Campus,86,Met with advisor on 2022-08-21,96
S0008,glee,TRUE,8/22/22,FALSE,Reading/Writing,Tablet and Wi‑Fi,60,50,19,24,International,TRUE,Active in Volunteer Club,Drama Club,Member,Off‑Campus,Partial,Commuter,Bike,Inactive,None,TRUE,Extended Time,In‑person,82,4,FALSE,Neutral,TRUE,FALSE,17,57,FALSE,Neutral,3,135,FALSE,7,TRUE,Roommate: Carol Davis,1/1/00,4,None,FALSE,12,Off‑Campus,87,Met with advisor on 2022-08-22,97
S0009,hmartin,FALSE,8/23/22,TRUE,Visual,Laptop and Wi‑Fi,65,55,21,26,Domestic,FALSE,Member of Science Club,Art Club,Secretary,On‑Campus,None,Resident,"Car, Bike, Public Transit",Pending,None,TRUE,Not Applicable,Email,83,3,TRUE,Dissatisfied,FALSE,TRUE,18,58,TRUE,Negative,2,140,TRUE,8,FALSE,Roommate: David Miller,1/0/00,2,None,TRUE,13,Remote,88,Met with advisor on 2022-08-23,98
S0010,ithompson,TRUE,8/24/22,FALSE,Auditory,Desktop and Wi‑Fi,70,60,23,28,International,TRUE,None,None,None,Off‑Campus,Full,Commuter,Public Transit,Active,None,TRUE,Standard,SMS,84,4,FALSE,Very Satisfied,TRUE,FALSE,19,59,FALSE,Positive,3,145,FALSE,9,TRUE,Roommate: None,1/1/00,3,None,FALSE,14,On‑Campus,89,Met with advisor on 2022-08-24,99
